[2025-11-30 19:13:06] User: offline_user1 | Action: LOGIN | Details: User logged in
[2025-11-30 19:13:07] User: offline_user1 | Action: SEND_MESSAGE | Details: offline_user2
[2025-11-30 19:13:07] User: offline_user1 | Action: LOGOUT | Details: User logged out (connection closed)
[2025-11-30 19:13:08] User: offline_user2 | Action: LOGIN | Details: User logged in
[2025-11-30 19:13:11] User: offline_user2 | Action: LOGOUT | Details: User logged out (connection closed)
[2025-11-30 19:13:12] User: search_user1 | Action: LOGIN | Details: User logged in
[2025-11-30 19:13:12] User: search_user1 | Action: SEND_MESSAGE | Details: search_user2
[2025-11-30 19:13:13] User: search_user1 | Action: SEARCH_HISTORY | Details: keyword
[2025-11-30 19:13:13] User: search_user1 | Action: LOGOUT | Details: User logged out (connection closed)
[2025-11-30 19:13:14] User: block_userA | Action: LOGIN | Details: User logged in
[2025-11-30 19:13:14] User: block_userA | Action: BLOCK_USER | Details: block_userB
[2025-11-30 19:13:15] User: block_userA | Action: LOGOUT | Details: User logged out (connection closed)
[2025-11-30 19:13:16] User: friend_user1 | Action: REGISTER | Details: New user registered
[2025-11-30 19:13:17] User: friend_user2 | Action: REGISTER | Details: New user registered
[2025-11-30 19:13:17] User: friend_user1 | Action: LOGIN | Details: User logged in
[2025-11-30 19:13:17] User: friend_user1 | Action: ADD_FRIEND | Details: friend_user2
[2025-11-30 19:13:18] User: friend_user1 | Action: GET_FRIENDS | Details: Retrieved friend list
[2025-11-30 19:13:18] User: friend_user1 | Action: LOGOUT | Details: User logged out (connection closed)
[2025-11-30 19:13:44] User: session_user1 | Action: LOGIN | Details: User logged in
[2025-11-30 19:13:44] User: session_user1 | Action: SESSION_TERMINATED | Details: Old session closed by new login
[2025-11-30 19:13:44] User: session_user1 | Action: LOGOUT | Details: User logged out (connection closed)
[2025-11-30 19:13:44] User: session_user1 | Action: LOGIN | Details: User logged in
[2025-11-30 19:13:45] User: session_user1 | Action: LOGOUT | Details: User logged out (connection closed)
[2025-11-30 19:13:46] User: stream_user1 | Action: LOGIN | Details: User logged in
[2025-11-30 19:13:46] User: stream_user1 | Action: SEND_MESSAGE | Details: stream_user2
[2025-11-30 19:13:47] User: stream_user1 | Action: LOGOUT | Details: User logged out (connection closed)
[2025-11-30 19:13:48] User: format_user1 | Action: LOGIN | Details: User logged in
[2025-11-30 19:13:48] User: format_user1 | Action: SEND_MESSAGE | Details: format_user2
[2025-11-30 19:13:48] User: format_user1 | Action: LOGOUT | Details: User logged out (connection closed)
[2025-11-30 19:13:50] User: offline_user1 | Action: LOGIN | Details: User logged in
[2025-11-30 19:13:50] User: offline_user1 | Action: SEND_MESSAGE | Details: offline_user2
[2025-11-30 19:13:50] User: offline_user1 | Action: LOGOUT | Details: User logged out (connection closed)
[2025-11-30 19:13:51] User: offline_user2 | Action: LOGIN | Details: User logged in
[2025-11-30 19:14:04] User: offline_user2 | Action: LOGOUT | Details: User logged out (connection closed)
[2025-11-30 19:14:05] User: search_user1 | Action: LOGIN | Details: User logged in
[2025-11-30 19:14:05] User: search_user1 | Action: SEND_MESSAGE | Details: search_user2
[2025-11-30 19:14:05] User: search_user1 | Action: SEARCH_HISTORY | Details: keyword
[2025-11-30 19:14:06] User: search_user1 | Action: LOGOUT | Details: User logged out (connection closed)
[2025-11-30 19:14:07] User: block_userA | Action: LOGIN | Details: User logged in
[2025-11-30 19:14:07] User: block_userA | Action: BLOCK_USER | Details: block_userB
[2025-11-30 19:14:07] User: block_userA | Action: LOGOUT | Details: User logged out (connection closed)
[2025-11-30 19:14:19] User: friend_user1 | Action: LOGIN | Details: User logged in
[2025-11-30 19:14:19] User: friend_user1 | Action: ADD_FRIEND | Details: friend_user2
[2025-11-30 19:14:19] User: friend_user1 | Action: GET_FRIENDS | Details: Retrieved friend list
[2025-11-30 19:14:20] User: friend_user1 | Action: LOGOUT | Details: User logged out (connection closed)
[2025-11-30 19:45:16] User: test_userA | Action: LOGIN | Details: User logged in
[2025-11-30 19:45:31] User: test_userB | Action: LOGIN | Details: User logged in
[2025-11-30 19:45:42] User: test_userA | Action: GET_FRIENDS | Details: Retrieved friend list
[2025-11-30 19:45:49] User: test_userB | Action: GET_FRIENDS | Details: Retrieved friend list
[2025-11-30 19:46:14] User: test_userA | Action: ADD_FRIEND | Details: test_userB
[2025-11-30 19:46:18] User: test_userA | Action: GET_FRIENDS | Details: Retrieved friend list
[2025-11-30 19:46:31] User: test_userA | Action: ADD_FRIEND | Details: hust123
[2025-11-30 19:46:36] User: test_userA | Action: GET_FRIENDS | Details: Retrieved friend list
[2025-11-30 19:46:41] User: test_userB | Action: GET_FRIENDS | Details: Retrieved friend list
[2025-11-30 19:47:59] User: test_userA | Action: SEND_MESSAGE | Details: test_userB
[2025-11-30 19:55:53] User: test_userB | Action: LOGOUT | Details: User logged out (connection closed)
[2025-11-30 19:55:53] User: test_userA | Action: LOGOUT | Details: User logged out (connection closed)
[2025-11-30 19:55:57] User: thread_recipient | Action: REGISTER | Details: New user registered
[2025-11-30 19:55:58] User: thread_user2 | Action: REGISTER | Details: New user registered
[2025-11-30 19:55:58] User: thread_user1 | Action: REGISTER | Details: New user registered
[2025-11-30 19:55:58] User: thread_user4 | Action: REGISTER | Details: New user registered
[2025-11-30 19:55:58] User: thread_user3 | Action: REGISTER | Details: New user registered
[2025-11-30 19:55:58] User: thread_user0 | Action: REGISTER | Details: New user registered
[2025-11-30 19:55:58] User: thread_user1 | Action: LOGIN | Details: User logged in
[2025-11-30 19:55:58] User: thread_user4 | Action: LOGIN | Details: User logged in
[2025-11-30 19:55:58] User: thread_user2 | Action: LOGIN | Details: User logged in
[2025-11-30 19:55:58] User: thread_user3 | Action: LOGIN | Details: User logged in
[2025-11-30 19:55:58] User: thread_user0 | Action: LOGIN | Details: User logged in
[2025-11-30 19:55:58] User: thread_user4 | Action: SEND_MESSAGE | Details: thread_recipient
[2025-11-30 19:55:58] User: thread_user2 | Action: SEND_MESSAGE | Details: thread_recipient
[2025-11-30 19:55:58] User: thread_user1 | Action: SEND_MESSAGE | Details: thread_recipient
[2025-11-30 19:55:58] User: thread_user3 | Action: SEND_MESSAGE | Details: thread_recipient
[2025-11-30 19:55:58] User: thread_user0 | Action: SEND_MESSAGE | Details: thread_recipient
[2025-11-30 19:55:58] User: thread_user1 | Action: SEND_MESSAGE | Details: thread_recipient
[2025-11-30 19:55:58] User: thread_user3 | Action: SEND_MESSAGE | Details: thread_recipient
[2025-11-30 19:55:58] User: thread_user0 | Action: SEND_MESSAGE | Details: thread_recipient
[2025-11-30 19:55:58] User: thread_user4 | Action: SEND_MESSAGE | Details: thread_recipient
[2025-11-30 19:55:58] User: thread_user2 | Action: SEND_MESSAGE | Details: thread_recipient
[2025-11-30 19:55:58] User: thread_user2 | Action: SEND_MESSAGE | Details: thread_recipient
[2025-11-30 19:55:58] User: thread_user3 | Action: SEND_MESSAGE | Details: thread_recipient
[2025-11-30 19:55:58] User: thread_user4 | Action: SEND_MESSAGE | Details: thread_recipient
[2025-11-30 19:55:58] User: thread_user0 | Action: SEND_MESSAGE | Details: thread_recipient
[2025-11-30 19:55:58] User: thread_user1 | Action: SEND_MESSAGE | Details: thread_recipient
[2025-11-30 19:55:58] User: thread_user3 | Action: SEND_MESSAGE | Details: thread_recipient
[2025-11-30 19:55:58] User: thread_user0 | Action: SEND_MESSAGE | Details: thread_recipient
[2025-11-30 19:55:58] User: thread_user2 | Action: SEND_MESSAGE | Details: thread_recipient
[2025-11-30 19:55:58] User: thread_user1 | Action: SEND_MESSAGE | Details: thread_recipient
[2025-11-30 19:55:58] User: thread_user4 | Action: SEND_MESSAGE | Details: thread_recipient
[2025-11-30 19:55:58] User: thread_user0 | Action: SEND_MESSAGE | Details: thread_recipient
[2025-11-30 19:55:58] User: thread_user2 | Action: SEND_MESSAGE | Details: thread_recipient
[2025-11-30 19:55:58] User: thread_user3 | Action: SEND_MESSAGE | Details: thread_recipient
[2025-11-30 19:55:58] User: thread_user4 | Action: SEND_MESSAGE | Details: thread_recipient
[2025-11-30 19:55:58] User: thread_user1 | Action: SEND_MESSAGE | Details: thread_recipient
[2025-11-30 19:55:58] User: thread_user0 | Action: SEND_MESSAGE | Details: thread_recipient
[2025-11-30 19:55:58] User: thread_user1 | Action: SEND_MESSAGE | Details: thread_recipient
[2025-11-30 19:55:58] User: thread_user3 | Action: SEND_MESSAGE | Details: thread_recipient
[2025-11-30 19:55:58] User: thread_user2 | Action: SEND_MESSAGE | Details: thread_recipient
[2025-11-30 19:55:58] User: thread_user4 | Action: SEND_MESSAGE | Details: thread_recipient
[2025-11-30 19:55:58] User: thread_user4 | Action: SEND_MESSAGE | Details: thread_recipient
[2025-11-30 19:55:58] User: thread_user0 | Action: SEND_MESSAGE | Details: thread_recipient
[2025-11-30 19:55:58] User: thread_user2 | Action: SEND_MESSAGE | Details: thread_recipient
[2025-11-30 19:55:58] User: thread_user3 | Action: SEND_MESSAGE | Details: thread_recipient
[2025-11-30 19:55:58] User: thread_user1 | Action: SEND_MESSAGE | Details: thread_recipient
[2025-11-30 19:55:59] User: thread_user4 | Action: SEND_MESSAGE | Details: thread_recipient
[2025-11-30 19:55:59] User: thread_user2 | Action: SEND_MESSAGE | Details: thread_recipient
[2025-11-30 19:55:59] User: thread_user0 | Action: SEND_MESSAGE | Details: thread_recipient
[2025-11-30 19:55:59] User: thread_user1 | Action: SEND_MESSAGE | Details: thread_recipient
[2025-11-30 19:55:59] User: thread_user3 | Action: SEND_MESSAGE | Details: thread_recipient
[2025-11-30 19:55:59] User: thread_user1 | Action: SEND_MESSAGE | Details: thread_recipient
[2025-11-30 19:55:59] User: thread_user2 | Action: SEND_MESSAGE | Details: thread_recipient
[2025-11-30 19:55:59] User: thread_user4 | Action: SEND_MESSAGE | Details: thread_recipient
[2025-11-30 19:55:59] User: thread_user0 | Action: SEND_MESSAGE | Details: thread_recipient
